Category,Value,table_caption,category
Price to Income Ratio:,12.24,Property Investment Indices,property_investment
Mortgage as Percentage of Income:,88.42%,Property Investment Indices,property_investment
Loan Affordability Index:,1.13,Property Investment Indices,property_investment
Price to Rent Ratio - City Centre:,29.19,Property Investment Indices,property_investment
Price to Rent Ratio - Outside of Centre:,21.57,Property Investment Indices,property_investment
Gross Rental Yield (City Centre):,3.43%,Property Investment Indices,property_investment
Gross Rental Yield (Outside of Centre):,4.64%,Property Investment Indices,property_investment
