Index,Unnamed: 1,table_caption,category
Traffic Index:,166.71,Traffic Indices,traffic
Time Index (in minutes):,40.0,Traffic Indices,traffic
Time Exp. Index:,1613.79,Traffic Indices,traffic
Inefficiency Index:,184.94,Traffic Indices,traffic
CO2 Emission Index:,5320.0,Traffic Indices,traffic
