0,1,table_caption,category
Working from Home,0.00%,Main Means of Transportation to Work or School,traffic
Walking,25.00%,Main Means of Transportation to Work or School,traffic
Car,75.00%,Main Means of Transportation to Work or School,traffic
Bicycle,0.00%,Main Means of Transportation to Work or School,traffic
Motorcycle,0.00%,Main Means of Transportation to Work or School,traffic
Bus/Trolleybus,0.00%,Main Means of Transportation to Work or School,traffic
Tram/Streetcar,0.00%,Main Means of Transportation to Work or School,traffic
Train/Metro,0.00%,Main Means of Transportation to Work or School,traffic
