Best Months,table_caption,category,data_type
April,Best Months To Visit Lyon,climate,list
May,Best Months To Visit Lyon,climate,list
June,Best Months To Visit Lyon,climate,list
July,Best Months To Visit Lyon,climate,list
August,Best Months To Visit Lyon,climate,list
September,Best Months To Visit Lyon,climate,list
October,Best Months To Visit Lyon,climate,list
May,Best Months To Visit Lyon,climate,list
