0,1,table_caption,category
Distance,12.81 km,Average when primarily using Train/Metro,traffic
Walking,8.90 min,Average when primarily using Train/Metro,traffic
Waiting,4.61 min,Average when primarily using Train/Metro,traffic
Driving Car,0.12 min,Average when primarily using Train/Metro,traffic
Bus/Trolleybus Ride,2.59 min,Average when primarily using Train/Metro,traffic
Tram/Streetcat Ride,1.56 min,Average when primarily using Train/Metro,traffic
Train/Metro Ride,22.54 min,Average when primarily using Train/Metro,traffic
Overall,40.66 min,Average when primarily using Train/Metro,traffic
