0,1,table_caption,category
Distance,4.72 km,Average when primarily using Walking,traffic
Walking,18.60 min,Average when primarily using Walking,traffic
Waiting,2.48 min,Average when primarily using Walking,traffic
Bicycle,0.68 min,Average when primarily using Walking,traffic
Bus/Trolleybus Ride,3.16 min,Average when primarily using Walking,traffic
Tram/Streetcat Ride,2.00 min,Average when primarily using Walking,traffic
Train/Metro Ride,3.40 min,Average when primarily using Walking,traffic
Overall,30.92 min,Average when primarily using Walking,traffic
