0,1,table_caption,category
Distance,13.11 km,Average when primarily using Car,traffic
Walking,1.99 min,Average when primarily using Car,traffic
Driving Car,27.07 min,Average when primarily using Car,traffic
Overall,29.06 min,Average when primarily using Car,traffic
