0,1,table_caption,category
Distance,4.52 km,Average when primarily using Walking,traffic
Walking,28.46 min,Average when primarily using Walking,traffic
Waiting,2.48 min,Average when primarily using Walking,traffic
Driving Car,0.16 min,Average when primarily using Walking,traffic
Bus/Trolleybus Ride,2.48 min,Average when primarily using Walking,traffic
Train/Metro Ride,1.00 min,Average when primarily using Walking,traffic
Overall,34.58 min,Average when primarily using Walking,traffic
