0,1,table_caption,category
Distance,10.84 km,Average when primarily using Bus/Trolleybus,traffic
Walking,6.50 min,Average when primarily using Bus/Trolleybus,traffic
Waiting,7.83 min,Average when primarily using Bus/Trolleybus,traffic
Bus/Trolleybus Ride,31.44 min,Average when primarily using Bus/Trolleybus,traffic
Tram/Streetcat Ride,0.07 min,Average when primarily using Bus/Trolleybus,traffic
Train/Metro Ride,0.28 min,Average when primarily using Bus/Trolleybus,traffic
Overall,46.25 min,Average when primarily using Bus/Trolleybus,traffic
