Index,Unnamed: 1,table_caption,category
Traffic Index:,136.93,Traffic Indices,traffic
Time Index (in minutes):,36.34,Traffic Indices,traffic
Time Exp. Index:,771.97,Traffic Indices,traffic
Inefficiency Index:,134.77,Traffic Indices,traffic
CO2 Emission Index:,3745.64,Traffic Indices,traffic
