0,1,table_caption,category
Distance,7.50 km,Average when primarily using Tram/Streetcar,traffic
Walking,4.67 min,Average when primarily using Tram/Streetcar,traffic
Waiting,3.50 min,Average when primarily using Tram/Streetcar,traffic
Bus/Trolleybus Ride,2.00 min,Average when primarily using Tram/Streetcar,traffic
Tram/Streetcat Ride,22.33 min,Average when primarily using Tram/Streetcar,traffic
Overall,32.50 min,Average when primarily using Tram/Streetcar,traffic
