Category,Value,table_caption,category
Price to Income Ratio:,11.56,Property Investment Indices,property_investment
Mortgage as Percentage of Income:,91.86%,Property Investment Indices,property_investment
Loan Affordability Index:,1.09,Property Investment Indices,property_investment
Price to Rent Ratio - City Centre:,30.05,Property Investment Indices,property_investment
Price to Rent Ratio - Outside of Centre:,27.46,Property Investment Indices,property_investment
Gross Rental Yield (City Centre):,3.33%,Property Investment Indices,property_investment
Gross Rental Yield (Outside of Centre):,3.64%,Property Investment Indices,property_investment
