0,1,table_caption,category
Distance,4.48 km,Average when primarily using Walking,traffic
Walking,16.11 min,Average when primarily using Walking,traffic
Waiting,2.74 min,Average when primarily using Walking,traffic
Driving Car,0.26 min,Average when primarily using Walking,traffic
Bicycle,0.53 min,Average when primarily using Walking,traffic
Bus/Trolleybus Ride,2.11 min,Average when primarily using Walking,traffic
Train/Metro Ride,5.95 min,Average when primarily using Walking,traffic
Overall,27.68 min,Average when primarily using Walking,traffic
