Index,Unnamed: 1,table_caption,category
Traffic Index:,177.69,Traffic Indices,traffic
Time Index (in minutes):,45.41,Traffic Indices,traffic
Time Exp. Index:,3681.1,Traffic Indices,traffic
Inefficiency Index:,218.12,Traffic Indices,traffic
CO2 Emission Index:,3230.56,Traffic Indices,traffic
