0,1,table_caption,category
Distance,17.95 km,Average when primarily using Train/Metro,traffic
Walking,13.09 min,Average when primarily using Train/Metro,traffic
Waiting,5.44 min,Average when primarily using Train/Metro,traffic
Bus/Trolleybus Ride,2.72 min,Average when primarily using Train/Metro,traffic
Tram/Streetcat Ride,0.94 min,Average when primarily using Train/Metro,traffic
Train/Metro Ride,36.09 min,Average when primarily using Train/Metro,traffic
Overall,60.09 min,Average when primarily using Train/Metro,traffic
