0,1,table_caption,category
Distance,7.50 km,Average when primarily using Bus/Trolleybus,traffic
Walking,9.44 min,Average when primarily using Bus/Trolleybus,traffic
Waiting,6.56 min,Average when primarily using Bus/Trolleybus,traffic
Bus/Trolleybus Ride,27.78 min,Average when primarily using Bus/Trolleybus,traffic
Train/Metro Ride,2.22 min,Average when primarily using Bus/Trolleybus,traffic
Overall,46.00 min,Average when primarily using Bus/Trolleybus,traffic
