Index,Unnamed: 1,table_caption,category
Traffic Index:,183.74,Traffic Indices,traffic
Time Index (in minutes):,43.7,Traffic Indices,traffic
Time Exp. Index:,2907.95,Traffic Indices,traffic
Inefficiency Index:,191.02,Traffic Indices,traffic
CO2 Emission Index:,5226.79,Traffic Indices,traffic
