0,1,table_caption,category
Distance,16.29 km,Average when primarily using Train/Metro,traffic
Walking,11.29 min,Average when primarily using Train/Metro,traffic
Waiting,5.33 min,Average when primarily using Train/Metro,traffic
Bus/Trolleybus Ride,2.19 min,Average when primarily using Train/Metro,traffic
Tram/Streetcat Ride,0.71 min,Average when primarily using Train/Metro,traffic
Train/Metro Ride,33.86 min,Average when primarily using Train/Metro,traffic
Overall,55.67 min,Average when primarily using Train/Metro,traffic
