0,1,table_caption,category
Working from Home,4.35%,Main Means of Transportation to Work or School,traffic
Walking,20.65%,Main Means of Transportation to Work or School,traffic
Car,23.91%,Main Means of Transportation to Work or School,traffic
Bicycle,7.61%,Main Means of Transportation to Work or School,traffic
Motorcycle,2.17%,Main Means of Transportation to Work or School,traffic
Bus/Trolleybus,5.43%,Main Means of Transportation to Work or School,traffic
Tram/Streetcar,1.09%,Main Means of Transportation to Work or School,traffic
Train/Metro,34.78%,Main Means of Transportation to Work or School,traffic
