0,1,table_caption,category
Distance,20.00 km,Average when primarily using Tram/Streetcar,traffic
Walking,8.00 min,Average when primarily using Tram/Streetcar,traffic
Waiting,5.00 min,Average when primarily using Tram/Streetcar,traffic
Tram/Streetcat Ride,60.00 min,Average when primarily using Tram/Streetcar,traffic
Overall,73.00 min,Average when primarily using Tram/Streetcar,traffic
