Category,Value,table_caption,category
Price to Income Ratio:,10.76,Property Investment Indices,property_investment
Mortgage as Percentage of Income:,78.59%,Property Investment Indices,property_investment
Loan Affordability Index:,1.27,Property Investment Indices,property_investment
Price to Rent Ratio - City Centre:,34.95,Property Investment Indices,property_investment
Price to Rent Ratio - Outside of Centre:,26.75,Property Investment Indices,property_investment
Gross Rental Yield (City Centre):,2.86%,Property Investment Indices,property_investment
Gross Rental Yield (Outside of Centre):,3.74%,Property Investment Indices,property_investment
